商品ID,商品名称,所属类别
PRODUCT_0,戴尔XPS 13 229型,1-0-5
PRODUCT_1,小米13 Ultra 605型,2-0-9
PRODUCT_2,小米13 Ultra 224型,6-0-1
PRODUCT_3,苹果iPhone 14 Pro Max 575型,3-4-10
PRODUCT_4,戴尔XPS 13 460型,3-4-7
PRODUCT_5,vivo X90 715型,9-2-1
PRODUCT_6,OPPO Find X6 221型,6-2-5
PRODUCT_7,耐克运动鞋 100型,5-0-2
PRODUCT_8,华硕ROG游戏本 827型,5-2-10
PRODUCT_9,三星Galaxy S23 997型,0-3-9
PRODUCT_10,索尼 PlayStation 5 850型,6-0-9
PRODUCT_11,联想小新笔记本电脑 722型,9-2-10
PRODUCT_12,索尼 PlayStation 5 82型,1-0-4
PRODUCT_13,华硕ROG游戏本 465型,3-0-7
PRODUCT_14,Xbox Series X 215型,5-1-6
PRODUCT_15,vivo X90 547型,4-0-10
PRODUCT_16,耐克运动鞋 277型,3-1-8
PRODUCT_17,华为Mate 60 235型,8-1-6
PRODUCT_18,华硕ROG游戏本 68型,0-2-7
PRODUCT_19,联想小新笔记本电脑 672型,3-4-6
PRODUCT_20,OPPO Find X6 272型,7-3-8
PRODUCT_21,H&M牛仔裤 270型,2-1-9
PRODUCT_22,耐克运动鞋 371型,9-3-10
PRODUCT_23,优衣库T恤 94型,3-1-9
PRODUCT_24,vivo X90 812型,0-0-3
PRODUCT_25,耐克运动鞋 391型,6-4-2
PRODUCT_26,华硕ROG游戏本 995型,9-3-9
PRODUCT_27,H&M牛仔裤 769型,8-0-2
PRODUCT_28,索尼 PlayStation 5 446型,4-2-2
PRODUCT_29,华硕ROG游戏本 996型,2-3-1
PRODUCT_30,三星Galaxy S23 892型,8-1-9
PRODUCT_31,联想小新笔记本电脑 157型,4-4-10
PRODUCT_32,ZARA连衣裙 941型,5-1-9
PRODUCT_33,优衣库T恤 20型,0-4-6
PRODUCT_34,戴尔XPS 13 60型,1-2-5
PRODUCT_35,小米13 Ultra 750型,3-4-2
PRODUCT_36,OPPO Find X6 132型,7-0-9
PRODUCT_37,华硕ROG游戏本 541型,7-4-3
PRODUCT_38,H&M牛仔裤 774型,9-3-4
PRODUCT_39,Xbox Series X 449型,3-2-7
PRODUCT_40,戴尔XPS 13 231型,8-3-2
PRODUCT_41,H&M牛仔裤 236型,1-2-1
PRODUCT_42,小米13 Ultra 725型,9-1-1
PRODUCT_43,华为Mate 60 881型,0-1-2
PRODUCT_44,戴尔XPS 13 286型,5-0-9
PRODUCT_45,OPPO Find X6 741型,7-1-9
PRODUCT_46,戴尔XPS 13 804型,9-4-8
PRODUCT_47,三星Galaxy S23 100型,7-3-4
PRODUCT_48,阿迪达斯跑鞋 479型,6-2-7
PRODUCT_49,耐克运动鞋 746型,0-0-1
PRODUCT_50,联想小新笔记本电脑 195型,5-0-4
PRODUCT_51,阿迪达斯跑鞋 188型,8-3-3
PRODUCT_52,小米13 Ultra 454型,4-3-4
PRODUCT_53,H&M牛仔裤 857型,8-0-1
PRODUCT_54,vivo X90 417型,0-0-4
PRODUCT_55,耐克运动鞋 925型,7-3-4
PRODUCT_56,苹果iPhone 14 Pro Max 400型,0-1-7
PRODUCT_57,阿迪达斯跑鞋 714型,4-3-5
PRODUCT_58,联想小新笔记本电脑 304型,8-3-3
PRODUCT_59,H&M牛仔裤 63型,3-0-10
PRODUCT_60,优衣库T恤 515型,5-0-1
PRODUCT_61,ZARA连衣裙 83型,8-1-1
PRODUCT_62,小米13 Ultra 692型,2-0-10
PRODUCT_63,戴尔XPS 13 593型,3-3-2
PRODUCT_64,小米13 Ultra 430型,9-0-10
PRODUCT_65,任天堂Switch 958型,9-4-9
PRODUCT_66,戴尔XPS 13 272型,4-1-6
PRODUCT_67,李宁篮球鞋 324型,6-1-5
PRODUCT_68,三星Galaxy S23 76型,1-0-8
PRODUCT_69,华硕ROG游戏本 136型,8-1-9
PRODUCT_70,Xbox Series X 292型,5-0-4
PRODUCT_71,索尼 PlayStation 5 627型,2-3-9
PRODUCT_72,索尼 PlayStation 5 955型,8-0-9
PRODUCT_73,三星Galaxy S23 912型,1-1-5
PRODUCT_74,华硕ROG游戏本 289型,1-4-3
PRODUCT_75,联想小新笔记本电脑 704型,9-1-6
PRODUCT_76,华硕ROG游戏本 928型,4-4-8
PRODUCT_77,华硕ROG游戏本 46型,0-0-7
