数据ID,用户ID,商品ID,评论时间戳,评论标题,评论内容,评分
TEST_0,5526,PRODUCT_553,1334332800,测试评论标题 0,这是测试评论内容 0，商品使用体验,1
TEST_1,5978,PRODUCT_905,1334937600,测试评论标题 1,这是测试评论内容 1，商品使用体验,1
TEST_2,5034,PRODUCT_108,1307635200,测试评论标题 2,这是测试评论内容 2，商品使用体验,2
TEST_3,5474,PRODUCT_267,1381248000,测试评论标题 3,这是测试评论内容 3，商品使用体验,1
TEST_4,5676,PRODUCT_321,1345046400,测试评论标题 4,这是测试评论内容 4，商品使用体验,1
TEST_5,5686,PRODUCT_616,1386950400,测试评论标题 5,这是测试评论内容 5，商品使用体验,3
TEST_6,5647,PRODUCT_744,1363449600,测试评论标题 6,这是测试评论内容 6，商品使用体验,4
TEST_7,5040,PRODUCT_389,1326643200,测试评论标题 7,这是测试评论内容 7，商品使用体验,1
TEST_8,5381,PRODUCT_259,1338307200,测试评论标题 8,这是测试评论内容 8，商品使用体验,4
TEST_9,5859,PRODUCT_748,1345651200,测试评论标题 9,这是测试评论内容 9，商品使用体验,4
TEST_10,5621,PRODUCT_780,1376323200,测试评论标题 10,这是测试评论内容 10，商品使用体验,4
TEST_11,5108,PRODUCT_558,1349884800,测试评论标题 11,这是测试评论内容 11，商品使用体验,4
TEST_12,5646,PRODUCT_299,1336579200,测试评论标题 12,这是测试评论内容 12，商品使用体验,5
TEST_13,5914,PRODUCT_446,1366214400,测试评论标题 13,这是测试评论内容 13，商品使用体验,2
TEST_14,5366,PRODUCT_50,1324051200,测试评论标题 14,这是测试评论内容 14，商品使用体验,5
TEST_15,5286,PRODUCT_780,1350921600,测试评论标题 15,这是测试评论内容 15，商品使用体验,1
TEST_16,5559,PRODUCT_656,1308412800,测试评论标题 16,这是测试评论内容 16，商品使用体验,5
TEST_17,5349,PRODUCT_835,1336233600,测试评论标题 17,这是测试评论内容 17，商品使用体验,5
TEST_18,5068,PRODUCT_669,1325347200,测试评论标题 18,这是测试评论内容 18，商品使用体验,3
TEST_19,5250,PRODUCT_574,1329321600,测试评论标题 19,这是测试评论内容 19，商品使用体验,1
TEST_20,5839,PRODUCT_106,1341590400,测试评论标题 20,这是测试评论内容 20，商品使用体验,1
TEST_21,5003,PRODUCT_43,1354809600,测试评论标题 21,这是测试评论内容 21，商品使用体验,4
TEST_22,5542,PRODUCT_163,1341072000,测试评论标题 22,这是测试评论内容 22，商品使用体验,1
TEST_23,5708,PRODUCT_937,1376755200,测试评论标题 23,这是测试评论内容 23，商品使用体验,4
TEST_24,5325,PRODUCT_711,1335369600,测试评论标题 24,这是测试评论内容 24，商品使用体验,1
TEST_25,5672,PRODUCT_267,1386518400,测试评论标题 25,这是测试评论内容 25，商品使用体验,2
TEST_26,5465,PRODUCT_710,1318003200,测试评论标题 26,这是测试评论内容 26，商品使用体验,1
TEST_27,5344,PRODUCT_357,1302019200,测试评论标题 27,这是测试评论内容 27，商品使用体验,2
TEST_28,5604,PRODUCT_653,1370448000,测试评论标题 28,这是测试评论内容 28，商品使用体验,5
TEST_29,5728,PRODUCT_27,1315670400,测试评论标题 29,这是测试评论内容 29，商品使用体验,1
TEST_30,5419,PRODUCT_568,1319731200,测试评论标题 30,这是测试评论内容 30，商品使用体验,1
